date,week_start,user_login,email,team,role,editor_primary,language_primary,suggestions,acceptances,acceptance_rate_pct,ide_chat_interactions,dotcom_chat_interactions,last_activity_at,last_activity_bucket,repository,model,pr_summaries_created
2025-08-28,2025-08-25,dev02,dev02@example.com,core-platform,Senior SDE,vscode,python,378,286,75.66,0,6,2025-09-24,0-7,demo/repo2,default,2
2025-08-28,2025-08-25,dev03,dev03@example.com,growth,SDE2,vscode,python,191,137,71.73,0,2,2025-09-22,0-7,mobile/app,default,1
2025-08-28,2025-08-25,dev04,dev04@example.com,core-platform,Senior SDE,vscode,python,409,242,59.17,0,5,2025-10-11,0-7,mobile/app,a-custom-model,1
2025-08-28,2025-08-25,dev05,dev05@example.com,mobile,Tech Lead,vscode,javascript,397,201,50.63,0,5,2025-09-22,0-7,payments/api,default,1
2025-08-28,2025-08-25,dev06,dev06@example.com,growth,Tech Lead,vscode,javascript,236,111,47.03,0,3,2025-10-12,0-7,mobile/app,a-custom-model,0
2025-08-28,2025-08-25,dev07,dev07@example.com,mobile,SDE1,vscode,python,316,193,61.08,0,4,2025-09-19,0-7,mobile/app,default,1
2025-08-28,2025-08-25,dev08,dev08@example.com,growth,Senior SDE,vscode,javascript,180,105,58.33,0,2,2025-10-08,0-7,demo/repo2,a-custom-model,0
2025-08-28,2025-08-25,dev09,dev09@example.com,growth,SDE1,vscode,typescript,412,282,68.45,0,5,2025-10-01,0-7,demo/repo1,default,3
2025-08-28,2025-08-25,dev10,dev10@example.com,growth,SDE1,vscode,go,371,258,69.54,0,5,2025-09-16,0-7,payments/api,default,2
2025-08-28,2025-08-25,dev11,dev11@example.com,growth,Senior SDE,jetbrains,java,284,191,67.25,0,4,2025-10-10,0-7,mobile/app,default,1
2025-08-28,2025-08-25,dev12,dev12@example.com,core-platform,Tech Lead,vscode,python,329,244,74.16,0,4,2025-09-17,0-7,mobile/app,default,1
2025-08-28,2025-08-25,dev13,dev13@example.com,mobile,Senior SDE,vscode,typescript,231,124,53.68,0,3,2025-09-16,0-7,demo/repo1,default,1
2025-08-28,2025-08-25,dev14,dev14@example.com,core-platform,Tech Lead,neovim,java,257,172,66.93,0,3,2025-10-12,0-7,demo/repo1,default,0
2025-08-28,2025-08-25,dev15,dev15@example.com,core-platform,Senior SDE,jetbrains,typescript,298,176,59.06,0,4,2025-09-13,0-7,payments/api,default,1
2025-08-28,2025-08-25,dev16,dev16@example.com,mobile,SDE1,vscode,python,338,221,65.38,0,4,2025-10-07,0-7,demo/repo2,default,1
2025-08-28,2025-08-25,dev17,dev17@example.com,mobile,Tech Lead,vscode,javascript,240,178,74.17,0,3,2025-09-13,0-7,payments/api,default,0
2025-08-28,2025-08-25,dev18,dev18@example.com,growth,Tech Lead,vscode,javascript,310,187,60.32,0,4,2025-10-09,0-7,payments/api,default,1
2025-08-28,2025-08-25,dev19,dev19@example.com,core-platform,Senior SDE,neovim,typescript,238,169,71.01,0,3,2025-10-13,0-7,mobile/app,default,2
2025-08-28,2025-08-25,dev20,dev20@example.com,core-platform,Tech Lead,neovim,typescript,336,246,73.21,0,4,2025-09-20,0-7,demo/repo2,default,1
2025-08-29,2025-08-25,dev01,dev01@example.com,core-platform,SDE1,jetbrains,java,156,64,41.03,0,1,2025-10-10,0-7,payments/api,default,1
2025-08-29,2025-08-25,dev02,dev02@example.com,core-platform,Senior SDE,vscode,python,292,213,72.95,0,3,2025-09-24,0-7,payments/api,a-custom-model,1
2025-08-29,2025-08-25,dev03,dev03@example.com,growth,SDE2,vscode,python,148,98,66.22,0,2,2025-09-22,0-7,demo/repo2,a-custom-model,1
2025-08-29,2025-08-25,dev04,dev04@example.com,core-platform,Senior SDE,vscode,python,317,179,56.47,0,4,2025-10-11,0-7,mobile/app,default,1
2025-08-29,2025-08-25,dev05,dev05@example.com,mobile,Tech Lead,vscode,javascript,308,147,47.73,0,3,2025-09-22,0-7,payments/api,default,1
2025-08-29,2025-08-25,dev06,dev06@example.com,growth,Tech Lead,vscode,javascript,183,77,42.08,0,2,2025-10-12,0-7,mobile/app,default,1
2025-08-29,2025-08-25,dev07,dev07@example.com,mobile,SDE1,vscode,python,245,141,57.55,0,3,2025-09-19,0-7,mobile/app,default,1
2025-08-29,2025-08-25,dev08,dev08@example.com,growth,Senior SDE,vscode,javascript,140,73,52.14,0,2,2025-10-08,0-7,demo/repo2,a-custom-model,1
2025-08-29,2025-08-25,dev09,dev09@example.com,growth,SDE1,vscode,typescript,319,210,65.83,0,4,2025-10-01,0-7,demo/repo2,default,1
2025-08-29,2025-08-25,dev10,dev10@example.com,growth,SDE1,vscode,go,288,193,67.01,0,3,2025-09-16,0-7,payments/api,default,1
2025-08-29,2025-08-25,dev11,dev11@example.com,growth,Senior SDE,jetbrains,java,220,139,63.18,0,2,2025-10-10,0-7,mobile/app,default,1
2025-08-29,2025-08-25,dev12,dev12@example.com,core-platform,Tech Lead,vscode,python,255,181,70.98,0,3,2025-09-17,0-7,demo/repo1,default,1
2025-08-29,2025-08-25,dev13,dev13@example.com,mobile,Senior SDE,vscode,typescript,179,88,49.16,0,2,2025-09-16,0-7,demo/repo1,a-custom-model,1
2025-08-29,2025-08-25,dev14,dev14@example.com,core-platform,Tech Lead,neovim,java,200,125,62.5,0,2,2025-10-12,0-7,mobile/app,default,1
2025-08-29,2025-08-25,dev15,dev15@example.com,core-platform,Senior SDE,jetbrains,typescript,231,128,55.41,0,3,2025-09-13,0-7,demo/repo2,default,1
2025-08-29,2025-08-25,dev16,dev16@example.com,mobile,SDE1,vscode,python,262,163,62.21,0,3,2025-10-07,0-7,payments/api,a-custom-model,1
2025-08-29,2025-08-25,dev17,dev17@example.com,mobile,Tech Lead,vscode,javascript,186,130,69.89,0,2,2025-09-13,0-7,mobile/app,a-custom-model,1
2025-08-29,2025-08-25,dev18,dev18@example.com,growth,Tech Lead,vscode,javascript,241,136,56.43,0,3,2025-10-09,0-7,payments/api,a-custom-model,0
2025-08-29,2025-08-25,dev19,dev19@example.com,core-platform,Senior SDE,neovim,typescript,185,124,67.03,0,2,2025-10-13,0-7,demo/repo2,default,1
2025-08-29,2025-08-25,dev20,dev20@example.com,core-platform,Tech Lead,neovim,typescript,260,182,70.0,0,3,2025-09-20,0-7,demo/repo2,default,2
2025-08-30,2025-08-25,dev01,dev01@example.com,core-platform,SDE1,jetbrains,java,59,21,35.59,0,1,2025-10-10,0-7,demo/repo1,default,0
2025-08-30,2025-08-25,dev02,dev02@example.com,core-platform,Senior SDE,vscode,python,109,76,69.72,0,2,2025-09-24,0-7,demo/repo2,default,1
2025-08-30,2025-08-25,dev03,dev03@example.com,growth,SDE2,vscode,python,55,33,60.0,0,1,2025-09-22,0-7,mobile/app,a-custom-model,0
2025-08-30,2025-08-25,dev04,dev04@example.com,core-platform,Senior SDE,vscode,python,119,64,53.78,0,2,2025-10-11,0-7,payments/api,default,1
2025-08-30,2025-08-25,dev05,dev05@example.com,mobile,Tech Lead,vscode,javascript,115,52,45.22,0,2,2025-09-22,0-7,demo/repo2,default,0
2025-08-30,2025-08-25,dev06,dev06@example.com,growth,Tech Lead,vscode,javascript,69,26,37.68,0,1,2025-10-12,0-7,payments/api,a-custom-model,0
2025-08-30,2025-08-25,dev07,dev07@example.com,mobile,SDE1,vscode,python,92,50,54.35,0,1,2025-09-19,0-7,payments/api,default,0
2025-08-30,2025-08-25,dev08,dev08@example.com,growth,Senior SDE,vscode,javascript,52,24,46.15,0,1,2025-10-08,0-7,demo/repo2,default,0
2025-08-30,2025-08-25,dev09,dev09@example.com,growth,SDE1,vscode,typescript,119,75,63.03,0,2,2025-10-01,0-7,demo/repo2,default,1
2025-08-30,2025-08-25,dev10,dev10@example.com,growth,SDE1,vscode,go,108,69,63.89,0,2,2025-09-16,0-7,mobile/app,default,0
2025-08-30,2025-08-25,dev11,dev11@example.com,growth,Senior SDE,jetbrains,java,82,49,59.76,0,1,2025-10-10,0-7,payments/api,a-custom-model,0
2025-08-30,2025-08-25,dev12,dev12@example.com,core-platform,Tech Lead,vscode,python,95,64,67.37,0,2,2025-09-17,0-7,demo/repo1,default,0
2025-08-30,2025-08-25,dev13,dev13@example.com,mobile,Senior SDE,vscode,typescript,67,30,44.78,0,1,2025-09-16,0-7,mobile/app,default,0
2025-08-30,2025-08-25,dev14,dev14@example.com,core-platform,Tech Lead,neovim,java,75,44,58.67,0,1,2025-10-12,0-7,mobile/app,default,0
2025-08-30,2025-08-25,dev15,dev15@example.com,core-platform,Senior SDE,jetbrains,typescript,86,45,52.33,0,1,2025-09-13,0-7,demo/repo2,default,0
2025-08-30,2025-08-25,dev16,dev16@example.com,mobile,SDE1,vscode,python,98,58,59.18,0,2,2025-10-07,0-7,mobile/app,default,0
2025-08-30,2025-08-25,dev17,dev17@example.com,mobile,Tech Lead,vscode,javascript,69,45,65.22,0,1,2025-09-13,0-7,demo/repo1,default,0
2025-08-30,2025-08-25,dev18,dev18@example.com,growth,Tech Lead,vscode,javascript,90,48,53.33,0,1,2025-10-09,0-7,mobile/app,default,0
2025-08-30,2025-08-25,dev19,dev19@example.com,core-platform,Senior SDE,neovim,typescript,69,43,62.32,0,1,2025-10-13,0-7,mobile/app,default,0
2025-08-30,2025-08-25,dev20,dev20@example.com,core-platform,Tech Lead,neovim,typescript,97,65,67.01,0,2,2025-09-20,0-7,mobile/app,default,0
2025-08-31,2025-08-25,dev01,dev01@example.com,core-platform,SDE1,jetbrains,java,59,25,42.37,0,1,2025-10-10,0-7,demo/repo2,default,0
2025-08-31,2025-08-25,dev02,dev02@example.com,core-platform,Senior SDE,vscode,python,113,82,72.57,0,2,2025-09-24,0-7,payments/api,default,1
2025-08-31,2025-08-25,dev03,dev03@example.com,growth,SDE2,vscode,python,58,39,67.24,0,1,2025-09-22,0-7,demo/repo2,a-custom-model,0
2025-08-31,2025-08-25,dev04,dev04@example.com,core-platform,Senior SDE,vscode,python,124,70,56.45,0,2,2025-10-11,0-7,demo/repo1,default,0
2025-08-31,2025-08-25,dev05,dev05@example.com,mobile,Tech Lead,vscode,javascript,120,57,47.5,0,1,2025-09-22,0-7,demo/repo1,default,0
2025-08-31,2025-08-25,dev06,dev06@example.com,growth,Tech Lead,vscode,javascript,72,31,43.06,0,0,2025-10-12,0-7,payments/api,default,0
2025-08-31,2025-08-25,dev07,dev07@example.com,mobile,SDE1,vscode,python,96,56,58.33,0,0,2025-09-19,0-7,demo/repo1,default,0
2025-08-31,2025-08-25,dev08,dev08@example.com,growth,Senior SDE,vscode,javascript,55,30,54.55,0,0,2025-10-08,0-7,payments/api,a-custom-model,0
2025-08-31,2025-08-25,dev09,dev09@example.com,growth,SDE1,vscode,typescript,125,82,65.6,0,1,2025-10-01,0-7,mobile/app,default,1
2025-08-31,2025-08-25,dev10,dev10@example.com,growth,SDE1,vscode,go,112,75,66.96,0,0,2025-09-16,0-7,demo/repo2,default,0
2025-08-31,2025-08-25,dev11,dev11@example.com,growth,Senior SDE,jetbrains,java,86,55,63.95,0,0,2025-10-10,0-7,demo/repo2,default,0
2025-08-31,2025-08-25,dev12,dev12@example.com,core-platform,Tech Lead,vscode,python,100,71,71.0,0,0,2025-09-17,0-7,demo/repo1,a-custom-model,1
2025-08-31,2025-08-25,dev13,dev13@example.com,mobile,Senior SDE,vscode,typescript,70,35,50.0,0,0,2025-09-16,0-7,payments/api,a-custom-model,0
2025-08-31,2025-08-25,dev14,dev14@example.com,core-platform,Tech Lead,neovim,java,78,50,64.1,0,0,2025-10-12,0-7,demo/repo2,default,0
2025-08-31,2025-08-25,dev15,dev15@example.com,core-platform,Senior SDE,jetbrains,typescript,90,51,56.67,0,0,2025-09-13,0-7,mobile/app,a-custom-model,0
2025-08-31,2025-08-25,dev16,dev16@example.com,mobile,SDE1,vscode,python,102,63,61.76,0,0,2025-10-07,0-7,mobile/app,default,0
2025-08-31,2025-08-25,dev17,dev17@example.com,mobile,Tech Lead,vscode,javascript,73,52,71.23,0,0,2025-09-13,0-7,demo/repo1,a-custom-model,0
2025-08-31,2025-08-25,dev18,dev18@example.com,growth,Tech Lead,vscode,javascript,94,54,57.45,0,0,2025-10-09,0-7,mobile/app,default,0
2025-08-31,2025-08-25,dev19,dev19@example.com,core-platform,Senior SDE,neovim,typescript,72,49,68.06,0,0,2025-10-13,0-7,demo/repo1,default,0
2025-08-31,2025-08-25,dev20,dev20@example.com,core-platform,Tech Lead,neovim,typescript,102,71,69.61,0,0,2025-09-20,0-7,mobile/app,default,0
2025-09-01,2025-09-01,dev01,dev01@example.com,core-platform,SDE1,jetbrains,java,197,82,41.62,0,1,2025-10-10,0-7,payments/api,default,0
2025-09-01,2025-09-01,dev02,dev02@example.com,core-platform,Senior SDE,vscode,python,371,272,73.32,0,2,2025-09-24,0-7,demo/repo2,default,1
2025-09-01,2025-09-01,dev03,dev03@example.com,growth,SDE2,vscode,python,188,126,67.02,0,1,2025-09-22,0-7,demo/repo1,default,1
2025-09-01,2025-09-01,dev04,dev04@example.com,core-platform,Senior SDE,vscode,python,403,229,56.82,0,2,2025-10-11,0-7,demo/repo1,default,1
2025-09-01,2025-09-01,dev05,dev05@example.com,mobile,Tech Lead,vscode,javascript,391,188,48.08,0,1,2025-09-22,0-7,mobile/app,default,2
2025-09-01,2025-09-01,dev06,dev06@example.com,growth,Tech Lead,vscode,javascript,233,100,42.92,0,0,2025-10-12,0-7,demo/repo1,default,1
2025-09-01,2025-09-01,dev07,dev07@example.com,mobile,SDE1,vscode,python,311,180,57.88,0,0,2025-09-19,0-7,demo/repo1,default,1
2025-09-01,2025-09-01,dev08,dev08@example.com,growth,Senior SDE,vscode,javascript,177,94,53.11,0,0,2025-10-08,0-7,demo/repo2,default,1
2025-09-01,2025-09-01,dev09,dev09@example.com,growth,SDE1,vscode,typescript,405,267,65.93,0,1,2025-10-01,0-7,demo/repo2,a-custom-model,0
2025-09-01,2025-09-01,dev10,dev10@example.com,growth,SDE1,vscode,go,365,245,67.12,0,0,2025-09-16,0-7,mobile/app,default,2
2025-09-01,2025-09-01,dev11,dev11@example.com,growth,Senior SDE,jetbrains,java,280,179,63.93,0,0,2025-10-10,0-7,demo/repo1,default,1
2025-09-01,2025-09-01,dev12,dev12@example.com,core-platform,Tech Lead,vscode,python,324,231,71.3,0,0,2025-09-17,0-7,payments/api,default,0
2025-09-01,2025-09-01,dev13,dev13@example.com,mobile,Senior SDE,vscode,typescript,227,113,49.78,0,0,2025-09-16,0-7,demo/repo2,a-custom-model,1
2025-09-01,2025-09-01,dev14,dev14@example.com,core-platform,Tech Lead,neovim,java,253,160,63.24,0,0,2025-10-12,0-7,demo/repo1,default,0
2025-09-01,2025-09-01,dev15,dev15@example.com,core-platform,Senior SDE,jetbrains,typescript,293,164,55.97,0,0,2025-09-13,0-7,payments/api,default,1
2025-09-01,2025-09-01,dev16,dev16@example.com,mobile,SDE1,vscode,python,333,208,62.46,0,0,2025-10-07,0-7,mobile/app,default,0
2025-09-01,2025-09-01,dev17,dev17@example.com,mobile,Tech Lead,vscode,javascript,236,166,70.34,0,0,2025-09-13,0-7,mobile/app,default,0
2025-09-01,2025-09-01,dev18,dev18@example.com,growth,Tech Lead,vscode,javascript,305,174,57.05,0,0,2025-10-09,0-7,payments/api,default,1
2025-09-01,2025-09-01,dev19,dev19@example.com,core-platform,Senior SDE,neovim,typescript,234,158,67.52,0,0,2025-10-13,0-7,demo/repo1,default,0
2025-09-01,2025-09-01,dev20,dev20@example.com,core-platform,Tech Lead,neovim,typescript,331,233,70.39,0,0,2025-09-20,0-7,payments/api,default,0
2025-09-02,2025-09-01,dev01,dev01@example.com,core-platform,SDE1,jetbrains,java,150,67,44.67,0,0,2025-10-10,0-7,demo/repo1,default,0
2025-09-02,2025-09-01,dev02,dev02@example.com,core-platform,Senior SDE,vscode,python,281,210,74.73,0,3,2025-09-24,0-7,payments/api,default,1
2025-09-02,2025-09-01,dev03,dev03@example.com,growth,SDE2,vscode,python,142,99,69.72,0,1,2025-09-22,0-7,demo/repo1,default,1
2025-09-02,2025-09-01,dev04,dev04@example.com,core-platform,Senior SDE,vscode,python,305,178,58.36,0,3,2025-10-11,0-7,mobile/app,default,2
2025-09-02,2025-09-01,dev05,dev05@example.com,mobile,Tech Lead,vscode,javascript,297,148,49.83,0,3,2025-09-22,0-7,mobile/app,a-custom-model,0
2025-09-02,2025-09-01,dev06,dev06@example.com,growth,Tech Lead,vscode,javascript,176,80,45.45,0,2,2025-10-12,0-7,demo/repo2,default,0
2025-09-02,2025-09-01,dev07,dev07@example.com,mobile,SDE1,vscode,python,236,141,59.75,0,2,2025-09-19,0-7,mobile/app,default,1
2025-09-02,2025-09-01,dev08,dev08@example.com,growth,Senior SDE,vscode,javascript,134,76,56.72,0,1,2025-10-08,0-7,mobile/app,default,0
2025-09-02,2025-09-01,dev09,dev09@example.com,growth,SDE1,vscode,typescript,307,208,67.75,0,3,2025-10-01,0-7,mobile/app,default,1
2025-09-02,2025-09-01,dev10,dev10@example.com,growth,SDE1,vscode,go,277,191,68.95,0,2,2025-09-16,0-7,payments/api,default,1
2025-09-02,2025-09-01,dev11,dev11@example.com,growth,Senior SDE,jetbrains,java,212,140,66.04,0,2,2025-10-10,0-7,payments/api,default,0
2025-09-02,2025-09-01,dev12,dev12@example.com,core-platform,Tech Lead,vscode,python,246,180,73.17,0,2,2025-09-17,0-7,demo/repo2,default,1
2025-09-02,2025-09-01,dev13,dev13@example.com,mobile,Senior SDE,vscode,typescript,172,91,52.91,0,2,2025-09-16,0-7,mobile/app,default,0
2025-09-02,2025-09-01,dev14,dev14@example.com,core-platform,Tech Lead,neovim,java,192,126,65.62,0,2,2025-10-12,0-7,demo/repo1,a-custom-model,1
2025-09-02,2025-09-01,dev15,dev15@example.com,core-platform,Senior SDE,jetbrains,typescript,222,129,58.11,0,2,2025-09-13,0-7,demo/repo1,default,0
2025-09-02,2025-09-01,dev16,dev16@example.com,mobile,SDE1,vscode,python,252,163,64.68,0,2,2025-10-07,0-7,payments/api,default,1
2025-09-02,2025-09-01,dev17,dev17@example.com,mobile,Tech Lead,vscode,javascript,179,130,72.63,0,2,2025-09-13,0-7,mobile/app,default,1
