acceptance_rate_pct,acceptances,adoption_rate,date,dotcom_chat_interactions,dotcom_chat_total_chats,editor_primary,email,entity_type,estimated_time_saved_hours,ide_chat_interactions,ide_chat_total_chats,is_custom_model,language_primary,last_activity_at,last_activity_bucket,model,repository,role,suggestions,sum_acceptances,sum_active_users,sum_dotcom_chats,sum_engaged_users,sum_ide_chats,sum_suggestions,team,total_active_users,total_code_acceptances,total_code_suggestions,total_engaged_users,total_pr_summaries_created,user_login,week_start
,,,2025-08-13,,27.0,,,days,,,0.0,,,,,,,,,,,,,,,,41.0,1522.0,2488.0,29.0,,,2025-08-11
,,,2025-08-14,,51.0,,,days,,,0.0,,,,,,,,,,,,,,,,49.0,2480.0,4463.0,33.0,,,2025-08-11
,,,2025-08-15,,51.0,,,days,,,0.0,,,,,,,,,,,,,,,,50.0,2708.0,4570.0,35.0,,,2025-08-11
,,,2025-08-16,,33.0,,,days,,,0.0,,,,,,,,,,,,,,,,39.0,2157.0,3844.0,31.0,,,2025-08-11
,,,2025-08-17,,33.0,,,days,,,0.0,,,,,,,,,,,,,,,,40.0,1648.0,3248.0,28.0,,,2025-08-11
,,,2025-08-18,,38.0,,,days,,,0.0,,,,,,,,,,,,,,,,48.0,1705.0,2988.0,29.0,,,2025-08-18
,,,2025-08-19,,59.0,,,days,,,0.0,,,,,,,,,,,,,,,,63.0,2535.0,5025.0,37.0,,,2025-08-18
,,,2025-08-20,,89.0,,,days,,,0.0,,,,,,,,,,,,,,,,61.0,1390.0,2760.0,46.0,,,2025-08-18
,,,2025-08-21,,30.0,,,days,,,0.0,,,,,,,,,,,,,,,,45.0,2175.0,3490.0,35.0,,,2025-08-18
,,,2025-08-22,,93.0,,,days,,,0.0,,,,,,,,,,,,,,,,58.0,2736.0,3957.0,43.0,,,2025-08-18
,,,2025-08-23,,27.0,,,days,,,0.0,,,,,,,,,,,,,,,,40.0,2501.0,3946.0,27.0,,,2025-08-18
,,,2025-08-24,,35.0,,,days,,,0.0,,,,,,,,,,,,,,,,44.0,2115.0,4480.0,34.0,,,2025-08-18
,,,2025-08-25,,40.0,,,days,,,0.0,,,,,,,,,,,,,,,,46.0,1338.0,2465.0,30.0,,,2025-08-25
,,,2025-08-26,,41.0,,,days,,,0.0,,,,,,,,,,,,,,,,53.0,2148.0,4282.0,36.0,,,2025-08-25
,,,2025-08-27,,52.0,,,days,,,0.0,,,,,,,,,,,,,,,,61.0,3051.0,4453.0,44.0,,,2025-08-25
,,,2025-08-28,,77.0,,,days,,,0.0,,,,,,,,,,,,,,,,64.0,3816.0,5952.0,47.0,,,2025-08-25
,,,2025-08-29,,52.0,,,days,,,0.0,,,,,,,,,,,,,,,,53.0,1874.0,4615.0,35.0,,,2025-08-25
,,,2025-08-30,,28.0,,,days,,,0.0,,,,,,,,,,,,,,,,37.0,924.0,1725.0,26.0,,,2025-08-25
,,,2025-08-31,,8.0,,,days,,,0.0,,,,,,,,,,,,,,,,36.0,1098.0,1801.0,21.0,,,2025-08-25
,,,2025-09-01,,8.0,,,days,,,0.0,,,,,,,,,,,,,,,,54.0,3420.0,5857.0,40.0,,,2025-09-01
,,,2025-09-02,,40.0,,,days,,,0.0,,,,,,,,,,,,,,,,60.0,2801.0,4441.0,40.0,,,2025-09-01
,,,2025-09-03,,22.0,,,days,,,0.0,,,,,,,,,,,,,,,,55.0,1233.0,2100.0,35.0,,,2025-09-01
,,,2025-09-04,,36.0,,,days,,,0.0,,,,,,,,,,,,,,,,54.0,2544.0,3633.0,37.0,,,2025-09-01
,,,2025-09-05,,35.0,,,days,,,0.0,,,,,,,,,,,,,,,,52.0,2513.0,4206.0,32.0,,,2025-09-01
,,,2025-09-06,,29.0,,,days,,,0.0,,,,,,,,,,,,,,,,44.0,2073.0,3815.0,31.0,,,2025-09-01
,,,2025-09-07,,53.0,,,days,,,0.0,,,,,,,,,,,,,,,,48.0,2127.0,3691.0,30.0,,,2025-09-01
,,,2025-09-08,,79.0,,,days,,,0.0,,,,,,,,,,,,,,,,61.0,2515.0,4595.0,43.0,,,2025-09-08
,,,2025-09-09,,33.0,,,days,,,0.0,,,,,,,,,,,,,,,,51.0,1860.0,3219.0,28.0,,,2025-09-08
,,,2025-09-10,,55.0,,,days,,,0.0,,,,,,,,,,,,,,,,52.0,2820.0,4952.0,37.0,,,2025-09-08
,,,2025-09-11,,60.0,,,days,,,0.0,,,,,,,,,,,,,,,,55.0,2369.0,4140.0,42.0,,,2025-09-08
,,,2025-09-12,,9.0,,,days,,,0.0,,,,,,,,,,,,,,,,61.0,2995.0,4746.0,46.0,,,2025-09-08
,,,2025-09-13,,28.0,,,days,,,0.0,,,,,,,,,,,,,,,,44.0,2124.0,4243.0,31.0,,,2025-09-08
,,,2025-09-14,,19.0,,,days,,,0.0,,,,,,,,,,,,,,,,38.0,1360.0,2564.0,25.0,,,2025-09-08
,,,2025-09-15,,21.0,,,days,,,0.0,,,,,,,,,,,,,,,,55.0,2604.0,5604.0,42.0,,,2025-09-15
,,,2025-09-16,,52.0,,,days,,,0.0,,,,,,,,,,,,,,,,58.0,4015.0,6459.0,43.0,,,2025-09-15
,,,2025-09-17,,45.0,,,days,,,0.0,,,,,,,,,,,,,,,,59.0,3580.0,5593.0,41.0,,,2025-09-15
,,,2025-09-18,,44.0,,,days,,,0.0,,,,,,,,,,,,,,,,56.0,2418.0,4143.0,32.0,,,2025-09-15
,,,2025-09-19,,8.0,,,days,,,0.0,,,,,,,,,,,,,,,,52.0,2597.0,5600.0,35.0,,,2025-09-15
,,,2025-09-20,,22.0,,,days,,,0.0,,,,,,,,,,,,,,,,44.0,1554.0,2559.0,29.0,,,2025-09-15
,,,2025-09-21,,27.0,,,days,,,0.0,,,,,,,,,,,,,,,,47.0,1764.0,2838.0,36.0,,,2025-09-15
,,,2025-09-22,,28.0,,,days,,,0.0,,,,,,,,,,,,,,,,58.0,3653.0,5358.0,38.0,,,2025-09-22
,,,2025-09-23,,32.0,,,days,,,0.0,,,,,,,,,,,,,,,,50.0,1516.0,2689.0,34.0,,,2025-09-22
,,,2025-09-24,,34.0,,,days,,,0.0,,,,,,,,,,,,,,,,55.0,2411.0,4826.0,40.0,,,2025-09-22
,,,2025-09-25,,20.0,,,days,,,0.0,,,,,,,,,,,,,,,,62.0,4438.0,6892.0,43.0,,,2025-09-22
,,,2025-09-26,,59.0,,,days,,,0.0,,,,,,,,,,,,,,,,55.0,2801.0,4304.0,37.0,,,2025-09-22
,,,2025-09-27,,18.0,,,days,,,0.0,,,,,,,,,,,,,,,,41.0,1403.0,2698.0,28.0,,,2025-09-22
,,,2025-09-28,,41.0,,,days,,,0.0,,,,,,,,,,,,,,,,38.0,1291.0,1977.0,23.0,,,2025-09-22
,,,2025-09-29,,30.0,,,days,,,0.0,,,,,,,,,,,,,,,,59.0,2730.0,4260.0,43.0,,,2025-09-29
,,,2025-09-30,,45.0,,,days,,,0.0,,,,,,,,,,,,,,,,53.0,2693.0,4278.0,39.0,,,2025-09-29
,,,2025-10-01,,58.0,,,days,,,0.0,,,,,,,,,,,,,,,,56.0,2334.0,4336.0,40.0,,,2025-09-29
,,,2025-10-02,,50.0,,,days,,,0.0,,,,,,,,,,,,,,,,57.0,1971.0,4388.0,43.0,,,2025-09-29
,,,2025-10-03,,85.0,,,days,,,0.0,,,,,,,,,,,,,,,,53.0,3585.0,4586.0,40.0,,,2025-09-29
,,,2025-10-04,,35.0,,,days,,,0.0,,,,,,,,,,,,,,,,44.0,2024.0,3401.0,31.0,,,2025-09-29
,,,2025-10-05,,29.0,,,days,,,0.0,,,,,,,,,,,,,,,,50.0,1680.0,2765.0,32.0,,,2025-09-29
,,,2025-10-06,,25.0,,,days,,,0.0,,,,,,,,,,,,,,,,52.0,1933.0,3641.0,28.0,,,2025-10-06
,,,2025-10-07,,42.0,,,days,,,0.0,,,,,,,,,,,,,,,,56.0,2932.0,4386.0,39.0,,,2025-10-06
,,,2025-10-08,,41.0,,,days,,,0.0,,,,,,,,,,,,,,,,60.0,3079.0,5567.0,44.0,,,2025-10-06
,,,2025-10-09,,37.0,,,days,,,0.0,,,,,,,,,,,,,,,,58.0,2827.0,4776.0,40.0,,,2025-10-06
,,,2025-10-10,,61.0,,,days,,,0.0,,,,,,,,,,,,,,,,61.0,2662.0,4591.0,39.0,,,2025-10-06
,,,2025-10-11,,30.0,,,days,,,0.0,,,,,,,,,,,,,,,,38.0,1926.0,2886.0,24.0,,,2025-10-06
,,,2025-10-12,,29.0,,,days,,,0.0,,,,,,,,,,,,,,,,44.0,2170.0,4017.0,30.0,,,2025-10-06
,,,2025-10-13,,55.0,,,days,,,0.0,,,,,,,,,,,,,,,,61.0,2495.0,3422.0,41.0,,,2025-10-13
,,,,,20.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,44.0,2854.0,4859.0,30.0,,,2025-06-30
,,,,,231.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,320.0,16259.0,27115.0,229.0,,,2025-07-07
,,,,,261.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,320.0,14513.0,27165.0,226.0,,,2025-07-14
,,,,,190.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,308.0,13500.0,24335.0,213.0,,,2025-07-21
,,,,,224.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,338.0,15800.0,27181.0,227.0,,,2025-07-28
,,,,,266.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,299.0,12187.0,22093.0,202.0,,,2025-08-04
,,,,,284.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,308.0,13315.0,23965.0,220.0,,,2025-08-11
,,,,,371.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,359.0,15157.0,26646.0,251.0,,,2025-08-18
,,,,,298.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,350.0,14249.0,25293.0,239.0,,,2025-08-25
,,,,,223.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,367.0,16711.0,27743.0,245.0,,,2025-09-01
,,,,,283.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,362.0,16043.0,28459.0,252.0,,,2025-09-08
,,,,,219.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,371.0,18532.0,32796.0,258.0,,,2025-09-15
,,,,,232.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,359.0,17513.0,28744.0,243.0,,,2025-09-22
,,,,,332.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,372.0,17017.0,28014.0,268.0,,,2025-09-29
,,,,,265.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,369.0,17529.0,29864.0,244.0,,,2025-10-06
,,,,,55.0,,,weekly,,,0.0,,,,,,,,,,,,,,,,61.0,2495.0,3422.0,41.0,,,2025-10-13
70.17,7081.0,,,96.0,,neovim,dev01@demo.io,users,,0.0,,,csharp,2025-10-02,8-30,,,SDE2,10091.0,,,,,,,mobile,,,,,,dev01,
59.85,4771.0,,,124.0,,vscode,dev02@acme.dev,users,,0.0,,,csharp,2025-08-21,31-90,,,Tech Lead,7972.0,,,,,,,mobile,,,,,,dev02,
55.83,7871.0,,,179.0,,vscode,dev03@acme.dev,users,,0.0,,,java,2025-09-30,8-30,,,Tech Lead,14098.0,,,,,,,payments,,,,,,dev03,
66.04,4631.0,,,142.0,,jetbrains,dev04@acme.dev,users,,0.0,,,go,2025-08-22,31-90,,,Tech Lead,7012.0,,,,,,,payments,,,,,,dev04,
61.29,7777.0,,,117.0,,vscode,dev05@demo.io,users,,0.0,,,python,2025-09-20,8-30,,,SDE2,12688.0,,,,,,,core-platform,,,,,,dev05,
55.0,5832.0,,,131.0,,neovim,dev06@example.com,users,,0.0,,,csharp,2025-09-14,8-30,,,SDE2,10604.0,,,,,,,payments,,,,,,dev06,
74.37,5083.0,,,140.0,,vscode,dev07@acme.dev,users,,0.0,,,go,2025-08-11,31-90,,,Tech Lead,6835.0,,,,,,,core-platform,,,,,,dev07,
71.1,8774.0,,,51.0,,neovim,dev08@demo.io,users,,0.0,,,java,2025-10-12,0-7,,,Tech Lead,12340.0,,,,,,,core-platform,,,,,,dev08,
52.32,3445.0,,,172.0,,vscode,dev09@demo.io,users,,0.0,,,typescript,2025-08-10,31-90,,,Tech Lead,6584.0,,,,,,,mobile,,,,,,dev09,
66.05,7553.0,,,155.0,,neovim,dev10@demo.io,users,,0.0,,,typescript,2025-09-25,8-30,,,Tech Lead,11436.0,,,,,,,growth,,,,,,dev10,
63.62,4441.0,,,168.0,,vscode,dev11@demo.io,users,,0.0,,,csharp,2025-07-26,31-90,,,SDE2,6980.0,,,,,,,mobile,,,,,,dev11,
77.65,5619.0,,,157.0,,jetbrains,dev12@example.com,users,,0.0,,,typescript,2025-07-21,31-90,,,Tech Lead,7236.0,,,,,,,mobile,,,,,,dev12,
72.24,8181.0,,,99.0,,vscode,dev13@demo.io,users,,0.0,,,csharp,2025-10-10,0-7,,,SDE1,11324.0,,,,,,,mobile,,,,,,dev13,
54.91,8924.0,,,100.0,,vscode,dev14@example.com,users,,0.0,,,java,2025-10-13,0-7,,,Tech Lead,16252.0,,,,,,,mobile,,,,,,dev14,
81.91,6259.0,,,58.0,,vscode,dev15@example.com,users,,0.0,,,csharp,2025-09-27,8-30,,,Senior SDE,7641.0,,,,,,,core-platform,,,,,,dev15,
47.56,4213.0,,,134.0,,neovim,dev16@example.com,users,,0.0,,,csharp,2025-08-30,31-90,,,Senior SDE,8859.0,,,,,,,payments,,,,,,dev16,
59.97,8282.0,,,52.0,,vscode,dev17@demo.io,users,,0.0,,,csharp,2025-10-09,0-7,,,Senior SDE,13810.0,,,,,,,core-platform,,,,,,dev17,
73.76,13079.0,,,53.0,,vscode,dev18@acme.dev,users,,0.0,,,go,2025-10-07,0-7,,,SDE2,17733.0,,,,,,,growth,,,,,,dev18,
49.28,6502.0,,,73.0,,jetbrains,dev19@demo.io,users,,0.0,,,go,2025-10-06,8-30,,,Tech Lead,13193.0,,,,,,,core-platform,,,,,,dev19,
62.6,6875.0,,,66.0,,vscode,dev20@example.com,users,,0.0,,,csharp,2025-09-19,8-30,,,SDE2,10983.0,,,,,,,mobile,,,,,,dev20,
45.05,8147.0,,,92.0,,vscode,dev21@acme.dev,users,,0.0,,,java,2025-10-07,0-7,,,Senior SDE,18083.0,,,,,,,core-platform,,,,,,dev21,
69.31,4640.0,,,50.0,,vscode,dev22@demo.io,users,,0.0,,,go,2025-09-03,31-90,,,SDE1,6695.0,,,,,,,growth,,,,,,dev22,
74.0,12313.0,,,42.0,,jetbrains,dev23@demo.io,users,,0.0,,,csharp,2025-10-07,0-7,,,SDE1,16640.0,,,,,,,payments,,,,,,dev23,
65.84,6368.0,,,65.0,,vscode,dev24@example.com,users,,0.0,,,go,2025-09-20,8-30,,,SDE1,9672.0,,,,,,,core-platform,,,,,,dev24,
77.75,6135.0,,,57.0,,neovim,dev25@acme.dev,users,,0.0,,,go,2025-09-16,8-30,,,Senior SDE,7891.0,,,,,,,mobile,,,,,,dev25,
55.24,4180.0,,,95.0,,vscode,dev26@acme.dev,users,,0.0,,,typescript,2025-08-10,31-90,,,Senior SDE,7567.0,,,,,,,mobile,,,,,,dev26,
70.76,7007.0,,,46.0,,vscode,dev27@demo.io,users,,0.0,,,csharp,2025-09-14,8-30,,,SDE2,9903.0,,,,,,,growth,,,,,,dev27,
67.16,10827.0,,,168.0,,jetbrains,dev28@acme.dev,users,,0.0,,,typescript,2025-10-07,0-7,,,SDE1,16121.0,,,,,,,payments,,,,,,dev28,
65.98,5501.0,,,131.0,,neovim,dev29@demo.io,users,,0.0,,,java,2025-08-28,31-90,,,Senior SDE,8338.0,,,,,,,mobile,,,,,,dev29,
61.46,8142.0,,,64.0,,vscode,dev30@example.com,users,,0.0,,,csharp,2025-10-12,0-7,,,SDE2,13248.0,,,,,,,payments,,,,,,dev30,
76.85,10721.0,,,79.0,,vscode,dev31@acme.dev,users,,0.0,,,typescript,2025-10-10,0-7,,,SDE1,13950.0,,,,,,,mobile,,,,,,dev31,
80.8,8634.0,,,93.0,,vscode,dev32@acme.dev,users,,0.0,,,csharp,2025-10-13,0-7,,,SDE2,10686.0,,,,,,,mobile,,,,,,dev32,
62.14,7975.0,,,95.0,,vscode,dev33@demo.io,users,,0.0,,,go,2025-10-14,0-7,,,Senior SDE,12834.0,,,,,,,growth,,,,,,dev33,
69.18,4769.0,,,61.0,,jetbrains,dev34@acme.dev,users,,0.0,,,python,2025-07-17,31-90,,,Senior SDE,6894.0,,,,,,,core-platform,,,,,,dev34,
45.02,3086.0,,,164.0,,neovim,dev35@example.com,users,,0.0,,,typescript,2025-07-26,31-90,,,SDE1,6854.0,,,,,,,growth,,,,,,dev35,
70.88,6129.0,,,185.0,,neovim,dev36@acme.dev,users,,0.0,,,go,2025-10-04,8-30,,,SDE1,8647.0,,,,,,,payments,,,,,,dev36,
,44661.0,,,,,jetbrains,,ide,,,,,,,,,,,67096.0,,,,,,,,,,,,,,
,54304.0,,,,,neovim,,ide,,,,,,,,,,,85060.0,,,,,,,,,,,,,,
,150802.0,,,,,vscode,,ide,,,,,,,,,,,235538.0,,,,,,,,,,,,,,
,92031.0,,,,,,,lang,,,,,csharp,,,,,,138741.0,,,,,,,,,,,,,,
,60542.0,,,,,,,lang,,,,,go,,,,,,90512.0,,,,,,,,,,,,,,
,39217.0,,,,,,,lang,,,,,java,,,,,,69111.0,,,,,,,,,,,,,,
,12546.0,,,,,,,lang,,,,,python,,,,,,19582.0,,,,,,,,,,,,,,
,45431.0,,,,,,,lang,,,,,typescript,,,,,,69748.0,,,,,,,,,,,,,,
,,,2025-07-06,,,,,repo,,,,0.0,,,,default,org/repo-1,,,,,,,,,,,,,,3.0,,
,,,2025-07-06,,,,,repo,,,,0.0,,,,default,org/repo-2,,,,,,,,,,,,,,1.0,,
,,,2025-07-06,,,,,repo,,,,0.0,,,,default,org/repo-3,,,,,,,,,,,,,,1.0,,
,,,2025-07-06,,,,,repo,,,,0.0,,,,default,org/repo-4,,,,,,,,,,,,,,1.0,,
,,,2025-07-06,,,,,repo,,,,0.0,,,,default,org/repo-5,,,,,,,,,,,,,,2.0,,
,,,2025-07-06,,,,,repo,,,,0.0,,,,default,org/repo-6,,,,,,,,,,,,,,1.0,,
,,,2025-07-06,,,,,repo,,,,0.0,,,,default,org/repo-7,,,,,,,,,,,,,,1.0,,
,,,2025-07-06,,,,,repo,,,,0.0,,,,default,org/repo-9,,,,,,,,,,,,,,1.0,,
,,,2025-07-06,,,,,repo,,,,0.0,,,,default,org/repo-10,,,,,,,,,,,,,,1.0,,
,,,2025-07-07,,,,,repo,,,,0.0,,,,default,org/repo-1,,,,,,,,,,,,,,3.0,,
,,,2025-07-07,,,,,repo,,,,0.0,,,,default,org/repo-2,,,,,,,,,,,,,,1.0,,
,,,2025-07-07,,,,,repo,,,,0.0,,,,default,org/repo-3,,,,,,,,,,,,,,1.0,,
,,,2025-07-07,,,,,repo,,,,0.0,,,,default,org/repo-4,,,,,,,,,,,,,,4.0,,
,,,2025-07-07,,,,,repo,,,,0.0,,,,default,org/repo-5,,,,,,,,,,,,,,1.0,,
,,,2025-07-07,,,,,repo,,,,0.0,,,,default,org/repo-6,,,,,,,,,,,,,,2.0,,
,,,2025-07-07,,,,,repo,,,,0.0,,,,default,org/repo-7,,,,,,,,,,,,,,2.0,,
,,,2025-07-07,,,,,repo,,,,0.0,,,,default,org/repo-8,,,,,,,,,,,,,,2.0,,
,,,2025-07-07,,,,,repo,,,,0.0,,,,default,org/repo-9,,,,,,,,,,,,,,3.0,,
,,,2025-07-07,,,,,repo,,,,0.0,,,,default,org/repo-10,,,,,,,,,,,,,,1.0,,
,,,2025-07-08,,,,,repo,,,,0.0,,,,default,org/repo-1,,,,,,,,,,,,,,1.0,,
,,,2025-07-08,,,,,repo,,,,0.0,,,,default,org/repo-2,,,,,,,,,,,,,,2.0,,
,,,2025-07-08,,,,,repo,,,,0.0,,,,default,org/repo-3,,,,,,,,,,,,,,1.0,,
,,,2025-07-08,,,,,repo,,,,0.0,,,,default,org/repo-4,,,,,,,,,,,,,,2.0,,
,,,2025-07-08,,,,,repo,,,,0.0,,,,default,org/repo-5,,,,,,,,,,,,,,3.0,,
,,,2025-07-08,,,,,repo,,,,0.0,,,,default,org/repo-6,,,,,,,,,,,,,,2.0,,
,,,2025-07-08,,,,,repo,,,,0.0,,,,default,org/repo-7,,,,,,,,,,,,,,3.0,,
,,,2025-07-08,,,,,repo,,,,0.0,,,,default,org/repo-8,,,,,,,,,,,,,,3.0,,
,,,2025-07-08,,,,,repo,,,,0.0,,,,default,org/repo-10,,,,,,,,,,,,,,1.0,,
,,,2025-07-09,,,,,repo,,,,0.0,,,,default,org/repo-1,,,,,,,,,,,,,,2.0,,
,,,2025-07-09,,,,,repo,,,,0.0,,,,default,org/repo-2,,,,,,,,,,,,,,1.0,,
,,,2025-07-09,,,,,repo,,,,0.0,,,,default,org/repo-4,,,,,,,,,,,,,,1.0,,
,,,2025-07-09,,,,,repo,,,,0.0,,,,default,org/repo-5,,,,,,,,,,,,,,1.0,,
,,,2025-07-09,,,,,repo,,,,0.0,,,,default,org/repo-6,,,,,,,,,,,,,,1.0,,
,,,2025-07-09,,,,,repo,,,,0.0,,,,default,org/repo-7,,,,,,,,,,,,,,1.0,,
,,,2025-07-09,,,,,repo,,,,0.0,,,,default,org/repo-8,,,,,,,,,,,,,,1.0,,
,,,2025-07-09,,,,,repo,,,,0.0,,,,default,org/repo-9,,,,,,,,,,,,,,1.0,,
,,,2025-07-11,,,,,repo,,,,0.0,,,,default,org/repo-1,,,,,,,,,,,,,,3.0,,
,,,2025-07-11,,,,,repo,,,,0.0,,,,default,org/repo-2,,,,,,,,,,,,,,2.0,,
,,,2025-07-11,,,,,repo,,,,0.0,,,,default,org/repo-3,,,,,,,,,,,,,,2.0,,
,,,2025-07-11,,,,,repo,,,,0.0,,,,default,org/repo-4,,,,,,,,,,,,,,1.0,,
,,,2025-07-11,,,,,repo,,,,0.0,,,,default,org/repo-5,,,,,,,,,,,,,,1.0,,
,,,2025-07-11,,,,,repo,,,,0.0,,,,default,org/repo-6,,,,,,,,,,,,,,1.0,,
